"kanji","hanviet","radical","stroke","onyomi","level","kunyomi","meaning"
寛,KHOAN,MIÊN【宀】,13,カン,N1,"",khoan dung
剰,THẶNG,ĐAO【刀】,11,ジョウ,N1,"",thặng dư
没,MỘT,THỦY【水】,7,ボツ、モチ、モツ,N1,しず.む、かく.す、し.ぬ、ない,trầm một
覧,LÃM,KIẾN【見】,17,ラン,N1,"",triển lãm
慢,MẠN,TÂM【心】,14,マン,N1,"",ngạo mạn
眼,NHÃN,MỤC【目】,11,ガン、ゲン,N1,まなこ,nhãn khoa
滋,TƯ,THỦY【水】,12,ジ,N1,"",phồn thịnh
阻,TRỞ,PHỤ【阜】,8,ソ,N1,はば.む,"cản trở, trở ngại"
往,VÃNG,SÁCH【彳】,8,オウ,N1,"","vãng lai, dĩ vãng"
彰,CHƯƠNG,SAM【彡】,14,ショウ,N1,"",hiển chương
浄,TỊNH,THỦY【水】,9,ジョウ、セイ,N1,"",thanh tịnh
懲,TRỪNG,TÂM【心】,18,チョウ,N1,こ.らす/らしめる、こ.りる,trừng phạt
潜,TIỀM,THỦY【水】,15,セン,N1,もぐ.る、ひそ.む,"tiềm ẩn, tiềm thức"
秩,TRẬT,HÒA【禾】,10,チツ,N1,"",trật tự
慨,KHÁI,TÂM【心】,13,ガイ,N1,"","khảng khái, phẫn khái"
菌,KHUẨN,THẢO【艸】,11,キン,N1,"",vi khuẩn
彫,ĐIÊU,PHIỆT【丿】,11,チョウ,N1,ほ.る,điêu khắc
衡,"HÀNH,HOÀNG",SÁCH【彳】,16,コウ,N1,"",cái cân
跳,KHIÊU,TÚC【足】,13,チョウ,N1,と.ぶ、は.ねる,khiêu vũ
熟,THỤC,HỎA【火】,15,ジュク,N1,う.れる,"hiền thục, thục nữ"
拍,PHÁCH,THỦ【手】,8,ハク、ヒョウ,N1,ひょう,vỗ tay
冒,"MẠO,MẶC",NHẬT【日】,9,ボウ、モウ,N1,おお.う、おか.す,mạo hiểm
陰,ÂM,PHỤ【阜】,11,イン,N1,かげ、かげ.る,"âm mưu, số âm"
尋,TẦM,KÝ【ヨ】,12,ジン,N1,たず.ねる,"sưu tầm, tầm nã"
唆,TOA,KHẨU【口】,10,サ,N1,そそのか.す,xúi giục
輩,BỐI,PHI【非】,15,ハイ,N1,"","tiền bối, hậu hối"
奇,KỲ,ĐẠI【大】,8,キ,N1,"","kì lạ, kì diệu"
墓,MỘ,THẢO【艸】,13,ボ,N1,はか,ngôi mộ
雰,PHÂN,VŨ【雨】,12,フン,N1,"",sương mù
征,CHINH,SÁCH【彳】,8,セイ,N1,"","chinh phục, chinh phạt"
艦,HẠM,CHU【舟】,21,カン,N1,"","chiến hạm, hạm đội"
尚,THƯỢNG,TIỂU【小】,8,ショウ,N1,なお,cao thượng
塾,THỤC,THỔ【土】,14,ジュク,N1,"",tư thục
漫,"MẠN,MAN",THỦY【水】,14,マン,N1,"",chịu đựng
噴,PHÚN,KHẨU【口】,15,フン,N1,ふ.く,phun
唯,DUY,KHẨU【口】,11,ユイ、イ,N1,"","duy nhất, duy tâm"
芳,PHƯƠNG,THẢO【艸】,7,ホウ,N1,かんば.しい,thơm
屈,"KHUẤT,QUẬT",THI【尸】,8,クツ,N1,"",khuất phục
銘,MINH,KIM【金】,14,メイ,N1,"",khắc
舗,PHỐ,NHÂN【人】,15,ホ,N1,"",phố xá
俵,BIẾU,NHÂN【人】,10,ヒョウ,N1,たわら,<đếm túi>
暇,HẠ,NHẬT【日】,13,カ,N1,ひま,nhàn hạ
遂,TOẠI,SƯỚC【辷】,12,スイ,N1,と.げる,toại nguyện
伏,PHỤC,NHÂN【人】,6,フク,N1,ふ.す、ふ.せる,"phục binh, phục kích"
殖,THỰC,NGẠT【歹】,12,ショク,N1,ふ.える、ふ.やす,sinh sản
霊,LINH,VŨ【雨】,15,レイ、リョウ,N1,たま,linh hồn
剛,CƯƠNG,CỔN【丨】,10,ゴウ,N1,"",cứng
悔,HỐI,TÂM【心】,9,カイ,N1,く.いる、く.やむ、くや.しい,hối hận
穂,TUỆ,HÒA【禾】,15,スイ,N1,ほ,tai
岳,NHẠC,PHIỆT【丿】,8,ガク,N1,たけ,núi cao
祥,TƯỜNG,THỊ【示】,10,ショウ,N1,"",cát tường
棟,ĐỐNG,MỘC【木】,12,トウ,N1,棟、むな,tòa nhà
培,BỒI,THỔ【土】,11,バイ,N1,つちか.う,bồi đắp
奨,TƯỞNG,ĐẠI【大】,13,ショウ、ソウ,N1,すす.める、まさし,tưởng thưởng
妨,PHƯƠNG,NỮ【女】,7,ボウ,N1,さまた.げる,phương hại
騰,ĐẰNG,NHỤC【肉　月】,20,トウ,N1,"",tăng cao
翻,PHIÊN,VŨ【羽】,18,ホン、ハン,N1,ひるがえ.す、ひるがえ.る,phiên dịch
諭,DỤ,NGÔN【言】,16,ユ,N1,さと.す,cảnh báo
随,TÙY,PHỤ【阜】,13,ズイ、スイ、タ,N1,"",tùy tùng
粘,NIÊM,MỄ【米】,11,ネン,N1,ねば.る,niêm mạc
浸,TẨM,THỦY【水】,10,シン,N1,ひた.す、ひた.る,ngâm tẩm
壇,ĐÀN,THỔ【土】,16,ダン、タン,N1,"",diễn đàn
糖,ĐƯỜNG,MỄ【米】,16,トウ,N1,"",đường
覆,PHÚC,TÂY【襾】,18,フク,N1,おお.う、くつがえ.る、くつがえ.す,đậy
猶,DO,KHUYỂN【犬】,12,ユウ、ユ,N1,"",do dự
謀,MƯU,NGÔN【言】,16,ボウ、ム,N1,はか.る,âm mưu
盾,THUẪN,PHIỆT【丿】,9,ジュン,N1,たて ,mâu thuẫn
飼,TỰ,THỰC【食】,13,シ,N1,か.う,nuôi
勲,HUÂN,HỎA【火】,15,クン,N1,いさお、いさむ,"huân chương, huân công"
脈,MẠCH,NHỤC【肉　月】,10,ミャク,N1,"",tim mạch
虚,HƯ,HỔ【虍】,11,キョ、コ,N1,"",hư vô
玄,HUYỀN,HUYỀN【玄】,5,ゲン,N1,"",màu đen
隔,CÁCH,PHỤ【阜】,13,カク,N1,へだ.てる、へだ.たる,khoảng cách
陛,BỆ,PHỤ【阜】,10,ヘイ,N1,"",bệ hạ
鬼,"QUỶ,QUỈ",QUỶ【鬼】,10,キ,N1,おに,ma quỷ
准,CHUẨN,BĂNG【冫】,10,ジュン,N1,"",thứ nhì
抽,TRỪU,THỦ【手】,8,チュウ,N1,"",trừu tượng
披,PHI,THỦ【手】,8,ヒ,N1,"",mở ra
狂,CUỒNG,KHUYỂN【犬】,7,キョウ,N1,くる.う、くる.おしい,cuồng sát
癒,DŨ,NẠNH【疒】,18,ユ,N1,い.える、いや.す,chữa bệnh
淡,ĐẠM,THỦY【水】,11,タン,N1,あわ.い,đạm bạc
訂,ĐÍNH,NGÔN【言】,9,テイ,N1,"",đính chính
緯,VĨ,MỊCH【糸】,16,イ,N1,"",vĩ độ
佳,GIAI,NHÂN【人】,8,カ,N1,"",giai nhân
帳,"TRƯƠNG,TRƯỚNG",CÂN【巾】,11,チョウ,N1,"",sổ
苗,MIÊU,THẢO【艸】,8,ビョウ、ミョウ,N1,なえ、なわ,mầm
据,"CƯ,CỨ",THỦ【手】,11,キョ,N1,す.える、す.わる,"đặt, để"
径,KÍNH,SÁCH【彳】,8,ケイ,N1,"",bán kính
磁,TỪ,THẠCH【石】,14,ジ,N1,"","từ tính, từ trường"
缶,"HẪU,PHỮU",PHẪU【缶】,6,カン、フ,N1,"",đồ hộp
猛,MÃNH,KHUYỂN【犬】,11,モウ,N1,"",mãnh liệt
肺,PHẾ,NHỤC【肉　月】,9,ハイ,N1,"",phổi
虐,NGƯỢC,HỔ【虍】,9,ギャク,N1,しいた.げる,ngược đãi
卸,TÁ,TIẾT【卩】,9,シャ,N1,おろ.す、おろし,bán buôn
逸,DẬT,SƯỚC【辷】,11,イツ,N1,"",ẩn dật
軌,"QUỸ,QUĨ",XA【車】,9,キ,N1,"",quỹ đạo
鑑,GIÁM,KIM【金】,23,カン,N1,"",giám định
荘,TRANH,THẢO【艸】,9,ソウ、ショウ、チャン,N1,"",trang trại
懐,HOÀI,TÂM【心】,16,カイ、エ,N1,ふところ、なつ.かしい、なつ.かしむ、なつ.く、なつ.ける、いだ.く、おも.う,hoài cổ
汁,CHẤP,THỦY【水】,5,ジュウ,N1,しる,nước quả
后,HẬU,PHIỆT【丿】,6,コウ、ゴ,N1,こう、ご,hoàng hậu
烈,LIỆT,HỎA【火】,10,レツ,N1,"","mãnh liệt, oanh liệt"
嘆,THÁN,KHẨU【口】,13,タン,N1,なげ.く、なげ.かわしい,"ca thán, cảm thán"
胆,ĐẢM,NHỤC【肉　月】,9,タン,N1,"",can đảm
棋,KỲ,MỘC【木】,12,キ,N1,"",môn cờ
妃,PHI,NỮ【女】,6,ヒ,N1,"",phi tần
徐,TỪ,SÁCH【彳】,10,ジョ,N1,"",từ từ
衰,SUY,ĐẦU【亠】,10,スイ,N1,おとろ.える,suy thoái
雷,LÔI,VŨ【雨】,13,ライ,N1,"",thiên lôi
惨,THẢM,TÂM【心】,11,サン、ザン,N1,みじ.め、いた.む、むご.い,"thảm thương, thảm sát"
郭,QUÁCH,ẤP【邑】,11,カク,N1,"",thành quách
粧,TRANG,MỄ【米】,12,ショウ,N1,"",hóa trang
奮,PHẤN,ĐẠI【大】,16,フン,N1,ふる.う,"hưng phấn, phấn đấu"
斜,TÀ,ĐẨU【斗】,11,シャ,N1,なな.め,nghiêng
霧,VỤ,VŨ【雨】,19,ム、ボウ、ブ,N1,きり,sương mù
潤,NHUẬN,THỦY【水】,15,ジュン,N1,うるお.す、うるお.う、うる.む,"lợi nhuận, nhuận tràng"
俗,TỤC,NHÂN【人】,9,ゾク,N1,"","thông tục, tục lệ"
栽,"TÀI,TẢI",THẬP【十】,10,サイ,N1,"",trồng
穏,ỔN,HÒA【禾】,16,オン,N1,おだ.やか,yên ổn
墨,MẶC,HẮC【黒】,14,ボク,N1,すみ,mực tàu
冠,"QUAN,QUÁN",MỊCH【冖】,9,カン,N1,かんむり,quán quân
晶,TINH,NHẬT【日】,12,ショウ,N1,"",kết tinh
亭,ĐÌNH,ĐẦU【亠】,9,テイ、チン,N1,"",cái đình
刈,NGẢI,ĐAO【刀】,4,ガイ、カイ,N1,か.る,cắt cỏ
駄,ĐÀ,MÃ【馬】,14,ダ、タ,N1,"",thồ hàng
棚,BẰNG,MỘC【木】,12,ホウ,N1,たな,cái giá
幻,ẢO,YÊU【幺】,4,ゲン,N1,まぼろし,huyễn hoặc
巣,SÀO,CHỦ【丶】,11,ソウ,N1,す,sào huyệt
酬,THÙ,DẬU【酉】,13,シュウ、シュ、トウ,N1,"",thù lao
排,BÁI,THỦ【手】,11,ハイ,N1,"",bài trừ
巧,XẢO,CÔNG【工】,5,コウ,N1,たく.み,tinh xảo
魔,MA,MA【麻】,21,マ,N1,"",ma quỷ
粛,TÚC,CỔN【丨】,11,シュク、スク,N1,"",nghiêm túc
邪,TÀ,NHA【牙】,8,ジャ,N1,"",tà ma
奉,PHỤNG,PHIỆT【丿】,8,ホウ、ブ,N1,たてまつ.る,"phụng dưỡng, cung phụng"
悦,DUYỆT,TÂM【心】,10,エツ,N1,"",vui vẻ
擦,SÁT,THỦ【手】,17,サツ,N1,す.れる、す.る,trà sát
漂,PHIÊU,THỦY【水】,14,ヒョウ,N1,ただよ.う,phiêu lưu
滝,LANG,THỦY【水】,13,ロウ、ソウ,N1,たき,thác nước
潔,KHIẾT,THỦY【水】,15,ケツ,N1,いさぎよ.い,thanh khiết
涯,NHAI,THỦY【水】,11,ガイ,N1,"",sinh nhai
廊,LANG,NGHIỄM【广】,12,ロウ,N1,"",hành lang
疫,DỊCH,NẠNH【疒】,9,エキ、ヤク,N1,"",dịch bệnh
乏,PHẠP,PHIỆT【丿】,4,ボウ,N1,とぼ.しい,"nghèo, ít"
矛,MÂU,MÂU【矛】,5,ム、ボウ,N1,ほこ,mâu thuẫn
妊,NHÂM,NỮ【女】,7,ニン、ジン,N1,はら.む、みごも.る,mang thai
桑,TANG,HỰU【又】,10,ソウ,N1,くわ,cây dâu
嫁,GIÁ,NỮ【女】,13,カ,N1,とつ.ぐ、よめ,đi lấy chồng
膜,MÔ,NHỤC【肉　月】,14,マク,N1,"",niêm mạc
班,BAN,NGỌC【玉、王】,10,ハン,N1,"",lớp
謙,KHIÊM,NGÔN【言】,17,ケン,N1,"",khiêm tốn
劣,LIỆT,PHIỆT【丿】,6,レツ,N1,おと.る,thua kém
凶,HUNG,KHẢM【凵】,4,キョウ,N1,"","hung khí, hung thủ"
釣,ĐIẾU,KIM【金】,11,チョウ,N1,つ.る,câu cá
疎,SƠ,SƠ【疋】,12,ソ、ショ,N1,うと.む、うと.い,không thân
獄,NGỤC,KHUYỂN【犬】,14,ゴク,N1,"","cai ngục, ngục tù"
紋,VĂN,MỊCH【糸】,10,モン,N1,"",hoa văn
紫,TỬ,MỊCH【糸】,12,シ,N1,むらさき,tử ngoại
芽,NHA,THẢO【艸】,8,ガ,N1,め,"mầm, manh nha"
陵,LĂNG,PHỤ【阜】,11,リョウ,N1,みささぎ,lăng tẩm
顕,HIỂN,HIỆT【頁】,18,ケン,N1,"","hiển hách, hiển thị"
峰,PHONG,SƠN【山】,10,ホウ,N1,みね,đỉnh núi
紡,PHƯỞNG,MỊCH【糸】,10,ボウ,N1,つむ.ぐ,dệt
宜,NGHI,MIÊN【宀】,8,ギ,N1,よろ.しい,"thích nghi, tiện nghi"
勘,KHÁM,LỰC【力】,11,カン,N1,"","dò xét, tri giác, 6 giác quan"
弓,CUNG,CUNG【弓】,3,キュウ,N1,ゆみ,cái cung
溝,CÂU,THỦY【水】,13,コウ,N1,みぞ,mương nhỏ
仰,NGƯỠNG,NHÂN【人】,6,ギョウ、コウ,N1,あお.ぐ、おお.せ,ngưỡng mộ
姫,CƠ,NỮ【女】,10,キ,N1,ひめ,công chúa
稚,TRĨ,HÒA【禾】,13,チ、ジ,N1,"",ấu trĩ
陶,ĐÀO,PHỤ【阜】,11,トウ,N1,"",đồ sứ
穫,HOẠCH,HÒA【禾】,18,カク,N1,"",thu hoạch
鎮,TRẤN,KIM【金】,18,チン,N1,しず.める、しず.まる,"trấn áp, trấn tĩnh"
酔,TÚY,DẬU【酉】,11,スイ,N1,よ.う,say
粗,THÔ,MỄ【米】,11,ソ,N1,あら.い,thô ráp
隻,CHÍCH,CHUY【隹】,10,セキ,N1,"",<đếm thuyền>
誓,THỆ,NGÔN【言】,14,セイ,N1,ちか.う,tuyên thệ
盆,BỒN,BÁT【八】,9,ボン,N1,"",cái bồn
弦,HUYỀN,CUNG【弓】,8,ゲン、ケン,N1,つる、いと,dây
悼,ĐIỆU,TÂM【心】,11,トウ,N1,いた.む,truy điệu
伯,BÁ,NHÂN【人】,7,ハク,N1,"",thúc bá
惜,TÍCH,TÂM【心】,11,セキ,N1,お.しい、お.しむ,tiếc
珠,CHÂU,NGỌC【玉、王】,10,シュ,N1,"",châu ngọc
碑,BI,THẠCH【石】,14,ヒ,N1,"",tấm bia
把,BẢ,THỦ【手】,7,ハ、ワ,N1,"",cầm
架,GIÁ,MỘC【木】,9,カ,N1,か.ける、か.かる,cái giá
朴,PHÁC,MỘC【木】,6,ボク,N1,"",chất phác
艇,ĐÌNH,CHU【舟】,13,テイ,N1,"",thuyền nhỏ
憂,ƯU,NHẤT【一】,15,ユウ,N1,うれ.える、うれ.あ、うれ.い、う.い,ưu phiền
刀,ĐAO,ĐAO【刀】,2,トウ,N1,かたな,cái đao
壮,TRÁNG,TƯỜNG【爿】,6,ソウ,N1,さかん、つよし,cường tráng
壌,NHƯỠNG,THỔ【土】,16,ジョウ,N1,"",thổ nhưỡng
堤,ĐÊ,THỔ【土】,12,テイ,N1,つつみ,đê điều
拐,QUẢI,THỦ【手】,8,カイ,N1,"",bắt cóc
累,LŨY,ĐIỀN【田】,11,ルイ,N1,"","thành lũy, tích lũy"
澄,TRỪNG,THỦY【水】,15,チョウ,N1,す.む、す.ます,"trong, rõ"
謡,DAO,NGÔN【言】,16,ヨウ,N1,うた.う,ca dao
肢,CHI,NHỤC【肉　月】,8,シ,N1,"","tay chân, tứ chi"
尿,NIỆU,THI【尸】,7,ニョウ,N1,"",niệu đạo
酷,KHỐC,DẬU【酉】,14,コク,N1,ひど.い,tàn khốc
鉛,DUYÊN,KIM【金】,13,エン,N1,なまり,kim loại chì
忍,NHẪN,TÂM【心】,7,ニン,N1,しの.ぶ、しの.ばせる,"tàn nhẫn, nhẫn nại"
臭,XÚ,TỰ【自】,9,シュウ,N1,くさ.い,"mùi thối, xú khí"
錯,THÁC,KIM【金】,16,サク、シャク,N1,"","thác giác, thác loạn"
寂,TỊCH,MIÊN【宀】,11,ジャク、セキ,N1,さび.しい、さび.れる、さび,"cô tịch, tịch mịch"
狩,THÚ,KHUYỂN【犬】,9,シュ,N1,か.り、か.る,săn bắn
恭,CUNG,TÂM【心】,10,キョウ,N1,うやうや.しい,cung kính
魂,HỒN,QUỶ【鬼】,14,コン,N1,たましい,linh hồn
唐,ĐƯỜNG,NGHIỄM【广】,10,トウ,N1,から,"nhà Đường, Trung quốc"
怪,QUÁI,TÂM【心】,8,カイ、ケ,N1,あや.しい、あや.しむ,"kì quái, quái vật"
砕,TOÁI,THẠCH【石】,9,サイ,N1,くだ.ける、くだ.く,phá vỡ
虜,LỖ,HỔ【虍】,13,リョ、ロ,N1,"",tù binh
垂,THÙY,PHIỆT【丿】,8,スイ,N1,た.れる、た.らす、た.れ、-た.れ、たる、だれ、なんなんと.す,rủ xuống
頻,TẦN,HIỆT【頁】,17,ヒン、ビン,N1,みぎわ、なら.ぶ、ひそ.める,"tần số, tần suất"
傍,BÀNG,NHÂN【人】,12,ボウ,N1,かたわ.ら,bàng quan
践,TIỄN,TÚC【足】,13,セン,N1,"",thực tiễn
呉,NGÔ,BÁT【八】,7,ゴ,N1,ご,"triều Ngô, Trung quốc"
洞,ĐỘNG,THỦY【水】,9,ドウ,N1,ほら,hang động
諾,NẶC,NGÔN【言】,15,ダク,N1,"",chấp thuận
俸,BỔNG,NHÂN【人】,10,ホウ,N1,"","lương bổng, bổng lộc"
履,LÝ,THI【尸】,15,リ,N1,は.く,"đi, mặc"
穀,CỐC,THÙ【殳】,14,コク,N1,"",ngũ cốc
呈,TRÌNH,KHẨU【口】,7,テイ,N1,"","trình bày, đệ trình"
髄,TỦY,PHỤ【阜】,12,ズイ、スイ,N1,"",xương tủy
庶,THỨ,NGHIỄM【广】,11,ショ,N1,"",thứ dân
遭,TAO,SƯỚC【辷】,14,ソウ,N1,あ.う,tao ngộ
匠,TƯỢNG,PHƯƠNG【匚　匸 】,6,ショウ,N1,"",nghệ nhân
飢,CƠ,THỰC【食】,10,キ,N1,う.える,"đói, cơ ngạ"
寸,THỐN,THỐN【寸】,3,スン,N1,"",thước đo
寧,NINH,MIÊN【宀】,14,ネイ,N1,"",an ninh
炊,XUY,HỎA【火】,8,スイ,N1,た.く,nấu cơm
閲,DUYỆT,MÔN【門】,15,エツ,N1,"",kiểm duyệt
寮,LIÊU,MIÊN【宀】,15,リョウ,N1,"",kí túc xá
赦,XÁ,XÍCH【赤】,11,シャ,N1,"","tha thứ, dung xá, xá tội"
赴,PHÓ,TẨU【走】,9,フ,N1,おもむ.く,"đi, tiếp tục, trở nên"
麗,LỆ,LỘC【鹿】,19,レイ,N1,うるわ.しい,mĩ lệ
宰,TỂ,MIÊN【宀】,10,サイ,N1,"","chúa tể, tể tướng"
殴,ẨU,THÙ【殳】,8,オウ,N1,なぐ.る,ẩu đả
怠,ĐÃI,KHƯ【厶】,9,タイ,N1,なま.ける、おこた.る,lười biếng
羅,LA,VÕNG【网】,19,ラ,N1,"",lụa
鉢,BÁT,KIM【金】,13,ハチ、ハツ,N1,"",cái bát
該,CAI,NGÔN【言】,13,ガイ,N1,"","như đã nói, bao quát, thích hợp, phải"
墳,PHẦN,THỔ【土】,15,フン,N1,"",mộ phần
峡,HẠP,SƠN【山】,9,キョウ、コウ,N1,"",đường núi hẹp
宴,YẾN,MIÊN【宀】,10,エン,N1,"",yến tiệc
窮,CÙNG,HUYỆT【穴】,15,キュウ、キョウ,N1,きわ.まる、きわ.める,cùng cực
憾,HÁM,TÂM【心】,16,カン,N1,"",hối hận
傘,TẢN,NHÂN【人】,12,サン,N1,かさ,cái ô
凡,PHÀM,KỶ【几】,3,ボン、ハン,N1,"",phàm nhân
弊,TỆ,CỦNG【廾】,15,ヘイ,N1,"","tệ hại, tệ xá"
漠,MẠC,THỦY【水】,13,バク,N1,"",sa mạc
騎,KỊ,MÃ【馬】,18,キ,N1,"",kị sĩ
循,TUẦN,SÁCH【彳】,12,ジュン,N1,"",tuần hoàn
如,NHƯ,NỮ【女】,6,ジョ、ニョ,N1,"",như thế
裸,KHỎA,Y【衣】,13,ラ,N1,はだか,khỏa thân
愚,NGU,TÂM【心】,13,グ,N1,ごろ.か,ngu ngốc
朱,"CHU,CHÂU",PHIỆT【丿】,6,シュ,N1,"",sắc đỏ
旋,TOÀN,PHƯƠNG【方】,11,セン,N1,"","đi vòng tròn, quay tròn"
縫,PHÙNG,MỊCH【糸】,16,ホウ,N1,ぬ.う,may vá
鶏,KÊ,ĐIỂU【鳥】,19,ケイ,N1,にわとり,con gà
僧,TĂNG,NHÂN【人】,13,ソウ,N1,"",tăng lữ
搬,"BAN,BÀN",THỦ【手】,13,ハン,N1,"",vận chuyển
獣,THÚ,KHUYỂN【犬】,16,ジュウ,N1,けもの,thú vật
詐,TRÁ,NGÔN【言】,12,サ,N1,"",lừa dối
吐,THỔ,KHẨU【口】,6,ト,N1,は.く,"thổ huyết, thổ lộ"
窒,TRẤT,HUYỆT【穴】,11,チツ,N1,"",ngạt
幣,TỆ,CÂN【巾】,15,ヘイ,N1,ぬさ,tiền tệ
慈,TỪ,BÁT【八】,13,ジ,N1,いつく.しむ,"từ bi, nhân từ"
縛,"PHƯỢC,PHỌC",MỊCH【糸】,16,バク,N1,しば.る,trói buộc
欺,KHI,KHIẾM【欠】,12,ギ,N1,あざむ.く,lừa dối
腸,"TRƯỜNG,TRÀNG",NHỤC【肉　月】,13,チョウ,N1,"",ruột
薫,HUÂN,THẢO【艸】,16,クン,N1,かお.る,thơm
粋,TÚY,MỄ【米】,10,スイ,N1,"",tinh túy
哀,AI,ĐẦU【亠】,9,アイ,N1,かな.しい、あわ.れ、あわ.れむ,bi ai
搭,ĐÁP,THỦ【手】,12,トウ,N1,"",chất lên xe
漬,TÝ,THỦY【水】,14,シ,N1,つ.ける、つ.かる,ngâm tẩm
娠,THẦN,NỮ【女】,10,シン,N1,"",mang thai
媒,MÔI,NỮ【女】,12,バイ,N1,"",môi giới
殻,XÁC,THÙ【殳】,11,カク、コク、バイ,N1,から,vỏ
暦,LỊCH,HÁN【厂】,14,レキ,N1,こよみ,lịch
蓄,SÚC,THẢO【艸】,13,チク,N1,たくわ.える,lưu trữ
辱,NHỤC,THÂN【辰】,10,ジョク,N1,はずかし.める,sỉ nhục
戯,HÍ,PHIỆT【丿】,15,ギ、ゲ,N1,たわむ.える,hí kịch
刃,NHẬN,PHIỆT【丿】,3,ジン、ニン,N1,は,lưỡi dao
槽,TÀO,MỘC【木】,15,ソウ,N1,"",cái máng
舶,BẠC,CHU【舟】,11,ハク,N1,"",tàu
酵,"GIẾU,DIẾU",DẬU【酉】,14,コウ,N1,"",lên men
賓,TÂN,MIÊN【宀】,15,ヒン,N1,"","tân khách, tiếp tân"
碁,KỲ,THẠCH【石】,13,ゴ,N1,"",cờ
扇,PHIẾN,HỘ【戸】,10,セン,N1,おおぎ,quạt
坪,BÌNH,THỔ【土】,8,ヘイ,N1,つぼ,"36 feet vuông"
墜,TRỤY,THỔ【土】,15,ツイ,N1,"","rơi, trụy lạc"
囚,TÙ,VI【囗】,5,シュウ,N1,"",tù nhân
桃,ĐÀO,MỘC【木】,10,トウ,N1,もも,cây đào
娯,NGU,NỮ【女】,10,ゴ,N1,"","vui chơi, ngu lạc"
幾,"KỶ,KY",YÊU【幺】,12,キ,N1,いく,hình học
蛇,XÀ,TRÙNG【虫】,11,ジャ、ダ、イ、ヤ,N1,へび,con rắn
酢,TẠC,DẬU【酉】,12,サク,N1,す,dấm
紳,THÂN,MỊCH【糸】,11,シン,N1,"",đàn ông
瓶,BÌNH,NGÕA【瓦】,11,ビン,N1,"",cái bình
眺,THIẾU,MỤC【目】,11,チョウ,N1,なが.める,nhìn
枢,"XU,KHU",MỘC【木】,8,スウ、ス、シュ,N1,とぼそ、からくり,chốt cửa
譜,PHỔ,NGÔN【言】,19,フ,N1,"","phổ nhạc, gia phả"
鍛,"ĐOÀN,ĐOÁN",KIM【金】,17,タン,N1,きた.える,luyện
鼓,CỔ,CỔ【鼓】,13,コ,N1,つづみ,cái trống
轄,HẠT,XA【車】,17,カツ,N1,"",địa hạt
餓,NGẠ,THỰC【食】,15,ガ,N1,が,đói
豚,"ĐỒN,ĐỘN",NHỤC【肉　月】,11,トン,N1,ぶた,con lợn
盲,MANH,ĐẦU【亠】,8,モウ,N1,めくら,mù
飽,BÃO,THỰC【食】,13,ホウ,N1,の、あ.きる、あ.かす,bão hòa
洪,HỒNG,THỦY【水】,9,コウ,N1,"",hồng thủy
藩,PHIÊN,THẢO【艸】,18,ハン,N1,"","bộ lạc, lãnh chúa"
疾,TẬT,NẠNH【疒】,10,シツ,N1,"",tật bệnh
昆,CÔN,NHẬT【日】,8,コン,N1,"",côn trùng
又,HỰU,HỰU【又】,2,ユウ,N1,また,lại
淑,THỤC,THỦY【水】,11,シュク,N1,"",hiền thục
偵,TRINH,NHÂN【人】,11,テイ,N1,"",trinh thám
篤,ĐỐC,TRÚC【竹】,16,トク,N1,"","trầm trọng, nghiêm trang, rất, thật lòng"
憤,PHẪN,TÂM【心】,15,フン,N1,いきどお.る,phẫn uất
恨,HẬN,TÂM【心】,9,コン,N1,うら.む、うら.めしい,căm hận
泡,"PHAO,BÀO",THỦY【水】,8,ホウ,N1,あわ,bọt
叙,TỰ,HỰU【又】,9,ジョ,N1,じょ.する,kể lại
笛,ĐỊCH,TRÚC【竹】,11,テキ,N1,ふえ,ống sáo
匿,NẶC,PHƯƠNG【匚　匸 】,10,トク,N1,"",nặc danh
痴,SI,NẠNH【疒】,13,チ,N1,"",ngu si
曹,TÀO,NHẬT【日】,11,ソウ、ゾウ,N1,"",phán xử
伐,PHẠT,NHÂN【人】,6,バツ、ハツ、カ、ボチ,N1,"",thảo phạt
遷,THIÊN,SƯỚC【辷】,15,セン,N1,"","thiên đô, thiên di"
概,KHÁI,MỘC【木】,14,ガイ,N1,おうむ.ね,"khái niệm, đại khái"
悠,DU,TÂM【心】,11,ユウ,N1,"",xa xăm
凝,NGƯNG,BĂNG【冫】,16,ギョウ,N1,こ.る、こ.らす,"ngưng kết, ngưng tụ"
甚,THẬM,CỔN【丨】,9,ジン,N1,はなは.だ／だしい,thậm chí
舌,THIỆT,THIỆT【舌】,6,ゼツ,N1,した,cái lưỡi
渦,OA,THỦY【水】,12,カ,N1,うず,dòng xoáy
享,HƯỞNG,ĐẦU【亠】,8,キョウ、コウ,N1,"",hưởng thụ
尼,NI,THI【尸】,5,ニ,N1,あま,ni cô
廉,LIÊM,NGHIỄM【广】,13,レン,N1,"",thanh liêm
傑,KIỆT,NHÂN【人】,13,ケツ,N1,すぐ.る,"tuấn kiệt, hào kiệt"
尺,XÍCH,THI【尸】,4,シャク,N1,"",thước
濁,TRỌC,THỦY【水】,16,ダク、ジョク,N1,にご.る、にご.す,đục
肖,TIÊU,TIỂU【小】,7,ショウ,N1,"",giống
遍,BIẾN,SƯỚC【辷】,12,ヘン,N1,"",lần
冗,NHŨNG,MỊCH【冖】,4,ジョウ,N1,"","dài dòng, lộn xộn"
